manner_of_death,age,gender,race,region,signs_of_mental_illness,threat_level,flee,body_camera,arms_category
shot,26-35,M,White,West South Central,No,attack,Not fleeing,No,Unarmed
shot,76+,M,White,Pacific,No,attack,Not fleeing,No,Guns
shot,36-50,M,White,Pacific,No,attack,Not fleeing,No,Guns
shot,19-25,M,Black,East North Central,No,other,Not fleeing,No,Blunt instruments
shot,51-75,M,White,East North Central,No,attack,Not fleeing,No,Guns
shot,19-25,M,Black,West South Central,No,attack,Not fleeing,Yes,Guns
shot,26-35,M,White,East North Central,Yes,attack,Not fleeing,No,Guns
shot,26-35,M,White,West South Central,No,other,Foot,No,Sharp objects
shot,26-35,M,Hispanic,Mountain,Yes,attack,Not fleeing,No,Guns
shot,26-35,M,Hispanic,Pacific,No,attack,Not fleeing,No,Guns
shot,19-25,F,Black,South Atlantic,No,attack,Not fleeing,No,Guns
shot,51-75,M,Black,South Atlantic,Yes,attack,Not fleeing,No,Guns
shot,51-75,M,White,East South Central,Yes,attack,Not fleeing,No,Guns
shot,36-50,M,Other,Pacific,Yes,other,Not fleeing,Yes,Unarmed
shot and Tasered,19-25,M,Hispanic,West South Central,No,other,Not fleeing,No,Blunt instruments
shot,51-75,M,White,South Atlantic,No,attack,Not fleeing,Yes,Guns
shot,36-50,M,White,Mountain,Yes,attack,Not fleeing,Yes,Guns
shot,26-35,M,Black,West South Central,No,attack,Not fleeing,No,Guns
shot,26-35,M,Other,West South Central,No,attack,Not fleeing,No,Guns
shot,36-50,M,Hispanic,Mountain,No,attack,Not fleeing,No,Guns
shot,51-75,M,White,East South Central,No,attack,Not fleeing,No,Guns
shot,36-50,M,White,Pacific,Yes,attack,Not fleeing,No,Other unusual objects
shot,26-35,M,Black,Pacific,No,attack,Not fleeing,Yes,Unarmed
shot,26-35,M,Asian,Pacific,No,attack,Not fleeing,No,Sharp objects
shot,36-50,M,White,South Atlantic,Yes,attack,Not fleeing,No,Guns
shot,0-18,M,White,South Atlantic,No,attack,Car,No,Guns
shot,36-50,M,White,Middle Atlantic,No,other,Car,No,Sharp objects
shot,19-25,M,Black,Pacific,No,attack,Car,No,Unknown
shot,26-35,M,White,Mountain,No,attack,Not fleeing,No,Sharp objects
shot,51-75,M,White,Middle Atlantic,Yes,attack,Not fleeing,No,Guns
shot,36-50,M,Black,West South Central,No,attack,Not fleeing,No,Guns
shot,26-35,M,Black,West North Central,No,attack,Car,No,Unknown
shot,36-50,M,White,Pacific,No,attack,Not fleeing,No,Guns
shot,26-35,M,Black,South Atlantic,No,other,Car,No,Unknown
shot,26-35,M,Black,West South Central,No,attack,Car,No,Unknown
shot,26-35,M,White,South Atlantic,Yes,other,Not fleeing,No,Sharp objects
shot,26-35,M,Black,South Atlantic,No,other,Foot,No,Guns
shot,36-50,M,White,Pacific,Yes,other,Not fleeing,No,Unknown
shot and Tasered,36-50,M,Other,Pacific,No,attack,Not fleeing,No,Guns
shot,36-50,M,White,East North Central,Yes,attack,Car,No,Guns
shot,51-75,M,White,South Atlantic,Yes,attack,Not fleeing,No,Guns
shot,36-50,M,White,East North Central,Yes,attack,Not fleeing,No,Guns
shot,36-50,M,White,Pacific,Yes,attack,Not fleeing,No,Other unusual objects
